Row Number,Artist Names,Track Names
0,Travis Scott,Impossible
1,"Tuxx, shinigami",Toxic
2,"Powfu, beabadoobee",death bed (coffee for your head)
3,Mac DeMarco,Chamber Of Reflection
4,"iann dior, Bernard Jabs",molly
5,SAINt JHN,5 Thousand Singles
6,Aizayah Hills,Fallout
7,Shamir,Ocean Eyes
8,Drake,5 Am in Toronto
9,"Yung Bleu, Drake",You’re Mines Still (feat. Drake)
10,Lil Uzi Vert,Baby Pluto
11,The Killers,Somebody Told Me
12,Ibranovski,Only You
13,"Spooky Boi, Effy",Crash
14,Teezo Touchdown,Careful
15,"Pritty, Kevin Bedford",Imagine That
16,"Ty Dolla $ign, Joe Moses",Wavy (feat. Joe Moses)
17,"Young Thug, Young Stoner Life, Gunna, Lil Baby",Chanel (Go Get It) [feat. Gunna & Lil Baby]
18,Juice WRLD,All Girls Are The Same
19,93FEETOFSMOKE,PPL THT I LUV THE MOST
20,Capstan,Wax Poetic (Acoustic)
21,Playboi Carti,King Vamp
22,"Travis Scott, Kacy Hill",90210 (feat. Kacy Hill)
23,Lil Uzi Vert,Moon Relate
24,BROHUG,Stockholm
25,Pop Smoke,Welcome To The Party
26,Bon Iver,"Hinnom, TX"
27,"Global Dan, Global AzN",Poison
28,"DJ Khaled, Drake",POPSTAR (feat. Drake)
29,Yxngxr1,"Damn, She Just Broke Up w/ Me"
30,"Oklou, Casey MQ",Lurk
31,"100 gecs, Laura Les, Dylan Brady",hand crushed by a mallet
32,"food house, Gupi, Fraxiom",mos thoser
33,convolk,-_-uncertain-_-
34,Juice WRLD,Lean Wit Me
35,The Weeknd,After Hours
36,Yung Lean,Pikachu
37,Tom The Mail Man,My Storm
38,"fats'e, shinigami, 93FEETOFSMOKE",old me
39,"JACKBOYS, Travis Scott, Young Thug",OUT WEST (feat. Young Thug)
40,"Infraction, Aim To Head",Falling
41,SyKo,#BrooklynBloodPop!
42,midwxst,Trying
43,Stormzy,Vossi Bop
44,StaySolidRocky,Party Girl
45,Mild Orange,Some Feeling
46,Playboi Carti,@ MEH
47,David Wolves,Impossible
48,ElyOtto,SugarCrash!
49,27CLUB,BURIED
50,convolk,lonewolf
51,The Weeknd,Until I Bleed Out
52,Travis Scott,HIGHEST IN THE ROOM
53,Travis Scott,STARGAZING
54,"SEGA SOUND TEAM, ZENTA",Red Radical Rage
55,i9bonsai,funee monkee gif
56,Shakewell,Late Night
57,"JELEEL!, Prettyboy D-O",Sinner!
58,"Trippie Redd, Lil Uzi Vert",Holy Smokes
59,"Ellie Goulding, Juice WRLD",Hate Me (with Juice WRLD)
60,Lil Uzi Vert,You Was Right
61,"Pop Smoke, 50 Cent, Roddy Ricch",The Woo (feat. 50 Cent & Roddy Ricch)
62,"Drake, Giveon",Chicago Freestyle (feat. Giveon)
63,Kanye West,Off The Grid
64,"Huncho Jack, Travis Scott, Quavo",Modern Slavery
65,Machine Gun Kelly,why are you here
66,Band of Horses,No One's Gonna Love You
67,Juice WRLD,Armed And Dangerous
68,andy polk,toyota ae86
69,Polo G,21
70,Off Cuts,Like Crying Mothers
71,Laura Les,Haunted
72,TOKYO’S REVENGE,Drug Lullaby
73,"Dead Robot, Saphir",Wings Apart
74,PnB Rock,Need Somebody
75,"food house, Gupi, Fraxiom",51129
76,"Drake, Rihanna",Take Care
77,Aries,CAROUSEL
78,Maggie Lindemann,Knife Under My Pillow
79,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS
80,Prettyboy D-O,Same Energy
81,Oasis,Don't Look Back In Anger
82,93FEETOFSMOKE,fruit
83,The Weeknd,In Your Eyes
84,Jungle,Keep Moving
85,safehold,Too Far Gone
86,93FEETOFSMOKE,mean a damn thing
87,Kevin LaSean,Racks
88,Kanye West,New Slaves
89,"Ski Mask The Slump God, Juice WRLD",Nuketown (feat. Juice WRLD)
90,As Tall As Lions,"Love, Love, Love (Love, Love)"
91,Pi’erre Bourne,Poof
92,Juice WRLD,Hear Me Calling
93,Jaden,Fire Dept
94,Juice WRLD,Fast
95,"lil aaron, Kim Petras, Laura Les",Anymore - Laura Les Remix
96,Yusei,Aesthetic Girl
97,"Drake, Future",Plastic Bag
98,916frosty,waiting
99,Travis Scott,SKELETONS
100,Machine Gun Kelly,title track
101,Pixies,Where Is My Mind?
102,Travis Scott,BUTTERFLY EFFECT
103,Juice WRLD,Conversations
104,Drake,When To Say When
105,Shamir,Other Side
106,"convolk, halberd, guardin, Jakkyboí, 9tails",whatever it takes
107,Dro Kenji,Houdini
108,"Mike Posner, Gigamesh",Cooler Than Me - Single Mix
109,"93FEETOFSMOKE, Ghostrage","oh hey, miss ur face"
110,Cults,Always Forever
111,Yaiko Kaori,Maybe i'm alone
112,"The Weeknd, The Blaze",After Hours - The Blaze Remix
113,PARTYNEXTDOOR,TOUCH ME
114,The Weeknd,Scared To Live
115,Kanye West,All Of The Lights (Interlude)
116,Aphex Twin,Avril 14th
117,Lil Uzi Vert,Bigger Than Life
118,"Dream, Ivory",welcome and goodbye
119,p4rkr,jealousy is a bitch. i hate her
120,"93FEETOFSMOKE, fats'e",stfugafm
121,50 Cent,Window Shopper
122,Dear and the Headlights,"I'm Not Crying. You're Not Crying, Are You?"
123,Pop Smoke,What You Know Bout Love
124,Drake,Hotline Bling
125,Travis Scott,WAKE UP
126,brakence,fwb
127,Grimes,Realiti
128,The Weeknd,Escape From LA
129,Lil Uzi Vert,Trap This Way (This Way)
130,"Lil Story, Steven Moses",Danger
131,Speng Squire,Sooner Or Later
132,"Teqkoi, Aiko",You Broke My Heart Again
133,RoomTone,Theme of One Punch Man (Seigi Shikkou)
134,Fatoumata Diawara,Nterini - A COLORS SHOW
135,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack"
136,Jay Eskar,You & I
137,SEBii,Butterfly Bankai
138,fats'e,blind in the spotlight
139,Travis Scott,A-Team
140,Pseudo,Demons in the Attic
141,Lil Tracy,Beautiful Nightmare
142,"Drippin So Pretty, Lil Tracy",Go for a Ride
143,Capstan,Wax Poetic
144,"Lil Wayne, Lil Uzi Vert",Multiple Flows (with Lil Uzi Vert)
145,Amyl and The Sniffers,Starfire 500
146,OMNIPONY,NO KIDDING!
147,"Kanye West, T-Pain",Good Life
148,"3rem, C05",LOVERBOY
149,Kanye West,Remote Control
150,Kanye West,Can't Tell Me Nothing
151,93FEETOFSMOKE,this is do or die just like everything else
152,Gemini Aaliyah,PRETTY PSYCHO
153,"Jay Eskar, Heleen",Just Dance
154,"100 gecs, Count Baldor, GFOTY",stupid horse (Remix) [feat. GFOTY & Count Baldor]
155,SAINt JHN,Who Do You Blame
156,"Netrum, Halvorsen",Shivers
157,Rose Cousins,The Grate
158,Juice WRLD,Man Of The Year
159,Childish Gambino,32.22
160,"93FEETOFSMOKE, shinigami, fats'e",never come back
161,Bon Iver,Skinny Love
162,Kanye West,All Of The Lights
163,"93FEETOFSMOKE, shinigami",it never rains anymore
164,Machine Gun Kelly,bloody valentine
165,"Woesum, Yung Lean",Summer Rain
166,"Nicky Romero, Deniz Koyu, Walk Off the Earth",Paradise
167,Oasis,Wonderwall
168,six impala,F4R4W4Y199X/74P3 2
169,convolk,black heart
170,Effy,Bonita
171,Prettyboy D-O,Jungle Justice - A COLORS SHOW
172,Juice WRLD,Robbery
173,Slayyyter,Mine
174,Oklou,fall - A COLORS SHOW
175,"Sewerperson, JabariOnTheBeat",Rsvp
176,Sevdaliza,Habibi
177,Lake Vince,TREELINES
178,Mild Orange,Stranger
179,"gravehours, guardin, abbot",FRIENDS
180,Sevdaliza,Shabrang
181,RoomTone,Battle!!
182,ITSOKTOCRY,i wish the world ended in 2012
183,"93FEETOFSMOKE, Tothegood",degrees
184,Lil Uzi Vert,XO Tour Llif3
185,Lil Tecca,NEVER LEFT
186,"Oklou, A. G. Cook",fall - A. G. Cook Remix
187,The Weeknd,Heartless
188,Kanye West,Ultralight Beam
189,"abbot, Gordon Snyder, patchymate",Oxygen
190,Juice WRLD,Maze
191,"JACKBOYS, Sheck Wes",GANG GANG
192,"Maggie Lindemann, Travis Barker",Friends Go (feat. Travis Barker)
193,Inner Circle,Bad Boys (Theme from COPS)
194,gianni & kyle,do u even miss me at all?
195,Zabawa,Butterfly's Repose
196,"guardin, Ray Toro",i think you're really cool (with Ray Toro)
197,David Wolves,Forget About Me
198,"Tory Lanez, Mansa",10 F*CKS (with Mansa)
199,Bon Iver,Holocene
200,Yungcudii,Think Too Much
201,Hamilton,Fell Into a Nightmare
202,"Eminem, Dido",Stan
203,NAV,Good For It
204,A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2)
205,"KEY!, Bobby Raps",Boys Don't Cry (feat. Bobby Raps)
206,Pop Smoke,Dior
207,27CLUB,Groupie
208,PARTYNEXTDOOR,Not Nice
209,"Jedwill, camoufly",Garden
210,Travis Scott,Antidote
211,lil aaron,Dark Matter
212,"93FEETOFSMOKE, WRCKTNGL",Shepherd of the Fog
213,"Juice WRLD, Marshmello",Come & Go (with Marshmello)
214,SAIAH,Cold
215,MAJ,Blue
216,"JERHELL, JADY",Vulnerable
217,"Maxd, LoneMoon",Stuart
218,Broly500!,I'm in Real Big Trouble
219,Sevdaliza,Oh My God
220,iivrson,Pressure
221,"Future, Lil Uzi Vert",Over Your Head
222,"Bon Iver, St. Vincent",Rosyln
223,Tom Odell,Another Love
224,King Theta,10 D3m0ns
225,POORSTACY,Hills Have Eyes
226,"Yung Scuff, Jakkyboí",U DO U
227,Drex Carter,Nandina
228,93FEETOFSMOKE,~^*+ 100k +*^~
229,"Drake, Future",Diamonds Dancing
230,"Kanye West, Rick Ross",Devil In A New Dress
231,Yusei,Unrequited Love
232,King Theta,Critical Mass
233,Quadeca,ALONE TOGETHER
234,lil aaron,DRUGS
235,Gambi,POPOPOP
236,SpaceMan Zack,Drugs in the Rain
237,David Wolves,Touring Test
238,Lil Uzi Vert,Money Longer
239,guardin,kinda sorta
240,King Theta,Backwards
241,"lil aaron, Kim Petras",ANYMORE
242,"Juice WRLD, Seezyn",Hide (feat. Seezyn)
243,The Weeknd,Blinding Lights
244,convolk,i fucked up
245,Dear and the Headlights,Sweet Talk
246,POORSTACY,make up
247,The Unlikely Candidates,Follow My Feet
248,"Travis Scott, The 1975, Big Sean",Don't Play (feat. The 1975 & Big Sean)
249,Freddie Sunshine,Sun and The Moon
250,Playboi Carti,Long Time - Intro
251,LocateEmilio,It Is What It Is
252,"KILLY, Y2K",OH NO
253,Oklou,Friendless
254,Senses,I Don't Wanna Change
255,"XXXTENTACION, PnB Rock, Trippie Redd",bad vibes forever
256,Crybaby Cash,Lllen
257,"Gupi, Fraxiom, food house",Thos Moser
258,Teddy,Foreign Banz
259,brakence,rosier/punk2
260,Chief Keef,That's It
261,Beach House,Space Song
262,Capstan,Abstracted
263,"Kanye West, Travis Scott",Wash Us In The Blood
264,"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds
265,Fuego,Una Vaina Loca
266,Sevdaliza,Joanna
267,Kanye West,Heartless
268,"Eminem, Nate Dogg",'Till I Collapse
269,"NAV, Travis Scott",Champion (feat. Travis Scott)
270,"Flywlkr, Moose",Sippin' fiji (feat. Moose)
271,93FEETOFSMOKE,LIE SELLER
272,BIGBABYGUCCI,Weird
273,Sevdaliza,Comet
274,Daddex,Love Scars
275,"93FEETOFSMOKE, WRCKTNGL",bite the curb and sleep well (prod. 93FEETOFSMOKE)
276,The Weeknd,Snowchild
277,Eminem,Beautiful
278,Bon Iver,iMi
279,Aries,RACECAR
280,Off Cuts,Winds Carry Me Through
281,iann dior,emotions
282,convolk,tie me to the train tracks
283,"SAINt JHN, J Balvin, Imanbek",Roses - Imanbek Remix [Latino Gang]
284,"Drake, WizKid, Kyla",One Dance
285,iivrson,Money Callin
286,Kanye West,FML
287,Young M.A,Numb
288,diveliner,Gaslight!
289,convolk,get lost
290,"Capoxxo, Oaf1, Dreamcache",Perfect
291,"Machine Gun Kelly, Travis Barker",Misery Business
292,JoeVille,Sexy
293,Namasenda,Wanted
294,"vowl., PhiloSofie",need you
295,The Weeknd,Repeat After Me (Interlude)
296,"T-Pain, Mike Jones",I'm N Luv (Wit a Stripper) (feat. Mike Jones)
297,"Mothica, CMTEN",VICES - Cmten Remix
298,"SAINt JHN, Lil Baby",Trap (feat. Lil Baby)
299,"Don Toliver, Kaash Paige, Travis Scott",Euphoria (feat. Travis Scott & Kaash Paige)
300,93FEETOFSMOKE,fruit2 / fleas
301,King Theta,Getting Over It
302,"Belly, The Weeknd",What You Want
303,KYLE,Bouncin
304,"Tyla Yaweh, Gunna, Wiz Khalifa",All the Smoke (feat. Gunna & Wiz Khalifa)
305,Kanye West,Wolves
306,Kanye West,Black Skinhead
307,King Theta,"Bridge, Pt. 2"
308,"T-Pain, Yung Joc",Buy U a Drank (Shawty Snappin') (feat. Yung Joc)
309,"88GLAM, NAV",Bali
310,Jakkyboí,Why U Gotta Mean So Much?
311,guardin,i think you're really cool
312,KYLE,What It Is
313,"Prettyboi Floydd, Bobby Raps",2 Damaged
314,Juice WRLD,Lucid Dreams
315,"Syn Cole, kirstin",Got the Feeling
316,The Weeknd,Faith
317,Future,March Madness
318,fats'e,room to breathe
319,Drake,Marvins Room
320,Kanye West,Hurricane
321,The Weeknd,Alone Again
322,"PARTYNEXTDOOR, Drake",LOYAL (feat. Drake)
323,convolk,dying young
324,Juice WRLD,Black & White
325,Drainpuppet,My Chakras Are Fast and Hype
326,Bladee,Be Nice 2 Me
327,Oklou,Entertnmnt
328,93FEETOFSMOKE,Lie & Say I Love Her
329,"Jay Eskar, Scarlett",Deja Vu
330,"Playboi Carti, Future",Teen X (feat. Future)
331,The Weeknd,Too Late
332,Lil Uzi Vert,That Way
333,"Juice WRLD, Lil Uzi Vert",Wasted (feat. Lil Uzi Vert)
334,anders,Bad Guy
335,guardin,in my sleep
336,93FEETOFSMOKE,HOW DO U LUV ME U DONT LUV URSELF
337,"Dominic Fike, Kenny Beats",Phone Numbers
338,"Supachefm, jay vee, Jakkyboí","Fine Wine, Long Life"
339,guardin,Doormat
340,RONI,Wasted / Only You
341,"Tory Lanez, Rich The Kid, Lil Wayne",TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix
342,27CLUB,SOBER
343,Kevin Kazi,Christian Dior
344,Daniel Caesar,Who Hurt You?
345,SAINt JHN,I Can Fvcking Tell
346,Machine Gun Kelly,drunk face
347,93FEETOFSMOKE,cut the feedback!
348,Travis Scott,wonderful
349,Drake,Trust Issues
350,"Zaini, vict molina, Keagan",Joke
351,Paris Shadows,OUTSIDE
352,brakence,fuckboy
353,Petit Biscuit,Memories
354,SAINt JHN,Roses
355,underscores,pay attention!
356,Pop Smoke,Something Special
357,"Machine Gun Kelly, Halsey",forget me too (feat. Halsey)
358,"StaySolidRocky, Lil Uzi Vert",Party Girl (Remix)
359,Surf Curse,Disco
360,guardin,Inside
361,KYLE,Ups & Downs
362,juno,obsessed
363,Marco Luka,do me wrong
364,JELEEL!,Hasta la Vida!
365,POORSTACY,I Want Smoke
366,Jutes,Sideshow
367,Justin Rarri,NEVADA
368,"100 gecs, Laura Les, Dylan Brady",ringtone
369,Drake,Passionfruit
370,BLESSED,Memoirs of the Melancholy
371,"100 gecs, Laura Les, Dylan Brady",money machine
372,Nameless,Asu No Yozora Shoukaihan
373,Lil Tecca,Did It Again
374,Kanye West,Waves
375,"Dj Yo!, CKay, AX'EL",Love Nwantiti - Remix
376,"Roderick Porter, Jay Portal",Unconditional
377,Lil Uzi Vert,Prices
378,Global Dan,For A Reason
379,"WizKid, Burna Boy",Ginger (feat. Burna Boy)
380,Drex Carter,Monday Mourning
381,"Travis Scott, Quavo",Oh My Dis Side (feat. Quavo)
382,Sevdaliza,Wallflower
383,benny mayne,THE WORST
384,Lil Uzi Vert,Myron
385,Lil Uzi Vert,Venetia
386,"Travis Scott, The Weeknd",Pray 4 Love (feat. The Weeknd)
387,Drake,Jungle
388,Lil Uzi Vert,P2
389,King Theta,Shadow
390,"KREAM, Maia Wright",Decisions (feat. Maia Wright)
391,Bon Iver,"Hey, Ma"
392,"Travis Scott, Swae Lee, Chief Keef",Nightcrawler (feat. Swae Lee & Chief Keef)
393,"Young Thug, Travis Scott",pick up the phone
394,"sober rob, Trevor Daniel",Gone
395,Pop Smoke,Flexin'
396,Juice WRLD,Make Believe
397,Oshi,silly boy
398,"Tyla Yaweh, SAINt JHN, Post Malone",Tommy Lee (feat. SAINt JHN & Post Malone) - Remix
399,"Kanye West, Kid Cudi, Raekwon",Gorgeous
400,"Treyarch Sound, Brian Tuey, James McCawley, Kevin Sherwood",115
401,"Playboi Carti, Lil Uzi Vert",Shoota (feat. Lil Uzi Vert)
402,Evilmane,Alone
403,"Tyla Yaweh, Post Malone",Tommy Lee (feat. Post Malone)
404,Three Days Grace,I Hate Everything About You
405,"Silent Boy, Sace",On My Mind
406,cxltgod,FTC
407,HEX,Inferno
408,Drippin So Pretty,Green Dot
409,Speng Squire,Vent
410,Lance Free,Clementine
411,"Wifisfuneral, Coi Leray",Lost in Time (feat. Coi Leray)
412,A Boogie Wit da Hoodie,Me and My Guitar
413,AG Club,Hngover
414,Tony Velour,Do or Die
415,"Jakkyboí, Yung Scuff",dying 2 kno
416,"Ariana Grande, Victoria Monét",MONOPOLY (with Victoria Monét)
417,Tothegood,"One Who Hurts, One Who Loves."
418,Amyl and The Sniffers,GFY
419,diveliner,Closer
420,"King Theta, Jakkyboí",Without You
421,100 gecs,sympathy 4 the grinch
422,Naïka,Sauce
423,Verzache,Needs
424,"Travis Scott, Lil Uzi Vert, Kanye West",Watch (feat. Lil Uzi Vert & Kanye West)
425,Tory Lanez,Who Needs Love
426,PinkPantheress,Break it off
427,All Time Low,"Dear Maria, Count Me In"
428,"juno, AViT",insomnia
429,Machine Gun Kelly,concert for aliens
430,"fats'e, jay vee",best of me
431,"Future, Drake",Life Is Good (feat. Drake)
432,shinigami,heart attack
433,Maggie Lindemann,Would I
434,Arizona Zervas,ROXANNE
435,Kanye West,Blood On The Leaves
436,"100 gecs, Laura Les, Dylan Brady",stupid horse
437,Yusei,Missing Thinking Wanting You
438,N i G H T S,Basic
439,"Travis Scott, Future, 2 Chainz",3500 (feat. Future & 2 Chainz)
440,"familypet, LiL Lotus","so long, goodbye"
441,Mac DeMarco,My Kind of Woman
442,Eminem,Without Me
443,No Shame,Take the Money & Run
444,88GLAM,Baby Bro
445,Michael Wyckoff,Bone Theme
446,"Prettyboy D-O, WANI",Mentally
447,"nothing,nowhere.",hammer
448,"Alex Skrindo, Miza",Thinkin'
449,Kid Cudi,Up Up & Away
450,Jack Daily,Pop Style - Jack Daily Remix
451,convolk,all black fit
452,LIL DUSTY G,Squash
453,Bryson Tiller,Exchange
454,Lil Uzi Vert,Celebration Station
455,Dylan Brady,I'll Make You Miss Me All The Time
456,"DJ Khaled, Nas, JAY-Z, James Fauntleroy","SORRY NOT SORRY (feat. Nas, JAY-Z & James Fauntleroy) - Harmonies by The Hive"
457,Travis Scott,goosebumps
458,Tory Lanez,Do The Most
459,guardin,Solitary
460,Kanye West,Father Stretch My Hands Pt. 1
461,"the bootleg boy, artemis orion",blue
462,"Drake, Lil Durk",Laugh Now Cry Later (feat. Lil Durk)
463,Kanye West,No Child Left Behind
464,The Weeknd,Save Your Tears
465,"Juice WRLD, Lil Uzi Vert",Lucid Dreams (feat. Lil Uzi Vert) - Remix
466,Koi,sbs
467,93FEETOFSMOKE,sick of myself
468,"Vicetone, MERŌN",Walk Thru Fire
469,3rem,Tongue Tied
470,Stormzy,Wiley Flow
471,Rezcoast Grizz,Lost You
472,"Juice WRLD, Rvssian, Clever",Ring Ring (with Rvssian feat. Clever)
473,Yung Bans,Partna In Crime (P.I.C.)
474,Polo G,Martin & Gina
475,"93FEETOFSMOKE, Anxiety Attacks!",Bending to Grow
476,"Jorja Smith, Burna Boy",Be Honest (feat. Burna Boy)
477,"Teqkoi, Snøw",I'm Not Enough and I'm Sorry
478,Kid Cudi,Soundtrack 2 My Life
479,"SAINt JHN, A Boogie Wit da Hoodie",Monica Lewinsky (feat. A Boogie wit da Hoodie)
480,"Yungcudii, Young $cotty, Suigeneris",Departed
481,The Killers,Mr. Brightside
482,Mooski,Track Star
483,Lxst,Exhausted
484,"POORSTACY, Travis Barker",Nothing Left
485,"The Kid LAROI, Juice WRLD",GO (feat. Juice WRLD)
486,i_o,Castles In The Sky
487,Travis Scott,CAROUSEL
488,Capstan,Stars Before The Sun
489,"Afrojack, BROHUG, TITUS, Exlau",Let It Rip - Exlau Remix
490,100 gecs,toothless
491,raspy,meadow
492,Blbrri,lavender lover
493,The Weeknd,Hardest To Love
494,"Flowars, guardin",bloodsucker
495,POORSTACY,hollow
496,Juice WRLD,Righteous
497,eli.,girls like u
498,"Lil Tecca, Juice WRLD",Ransom (with Juice WRLD) - Remix
499,juno,karma
500,Paper Rival,Foreign Film Collection
501,BIGBABYGUCCI,Blood on the Asphalt
502,Travis Scott,guidance
503,Dylan Brady,Of Course I Still Love You
504,Maleek Berry,Been Calling
505,"Big Sean, Drake",Blessings
506,Leo IV,high maintenance
507,Bobby Raps,Believe the Lie
508,27CLUB,ANXIOUS
509,"Kanye West, Dwele",Flashing Lights
510,Jonathan Parecki,ONE PUNCH MAN Opening Theme - THE HERO
511,"Future, Lil Uzi Vert",Drankin N Smokin
512,"Sorry X, 916frosty",Subject to Change
513,"benny blanco, Juice WRLD, Brendon Urie",Roses (with Juice WRLD feat. Brendon Urie)
514,Eminem,The Real Slim Shady
515,"Trippie Redd, Playboi Carti",Miss The Rage (feat. Playboi Carti)
516,"SAINt JHN, Imanbek",Roses - Imanbek Remix
517,Logic,Hit My Line
518,"Jaden, SYRE",Again
519,PnB Rock,My Ex
520,Sevdaliza,Rhode
521,Chief Keef,Faneto
522,Regina Spektor,Samson
523,"93FEETOFSMOKE, Tothegood",I'd do anything to keep you here (RIP RILEY I LOVE YOU)
524,"Tm88, Lil Uzi Vert",Slayerr
525,Trevor Daniel,On My Own
526,"Drake, Playboi Carti",Pain 1993 (with Playboi Carti)
527,Kyle The Hooligan,On My Own
528,SAINt JHN,Gorgeous
529,Ibranovski,Beggin'
530,Trevor Daniel,Never
531,Travis Scott,Impossible
532,"Tuxx, shinigami",Toxic
533,"Powfu, beabadoobee",death bed (coffee for your head)
534,Mac DeMarco,Chamber Of Reflection
535,"iann dior, Bernard Jabs",molly
536,SAINt JHN,5 Thousand Singles
537,Aizayah Hills,Fallout
538,Shamir,Ocean Eyes
539,Drake,5 Am in Toronto
540,"Yung Bleu, Drake",You’re Mines Still (feat. Drake)
541,Lil Uzi Vert,Baby Pluto
542,The Killers,Somebody Told Me
543,Ibranovski,Only You
544,"Spooky Boi, Effy",Crash
545,Teezo Touchdown,Careful
546,"Pritty, Kevin Bedford",Imagine That
547,"Ty Dolla $ign, Joe Moses",Wavy (feat. Joe Moses)
548,"Young Thug, Young Stoner Life, Gunna, Lil Baby",Chanel (Go Get It) [feat. Gunna & Lil Baby]
549,Juice WRLD,All Girls Are The Same
550,93FEETOFSMOKE,PPL THT I LUV THE MOST
551,Capstan,Wax Poetic (Acoustic)
552,Playboi Carti,King Vamp
553,"Travis Scott, Kacy Hill",90210 (feat. Kacy Hill)
554,Lil Uzi Vert,Moon Relate
555,BROHUG,Stockholm
556,Pop Smoke,Welcome To The Party
557,Bon Iver,"Hinnom, TX"
558,"Global Dan, Global AzN",Poison
559,"DJ Khaled, Drake",POPSTAR (feat. Drake)
560,Yxngxr1,"Damn, She Just Broke Up w/ Me"
561,"Oklou, Casey MQ",Lurk
562,"100 gecs, Laura Les, Dylan Brady",hand crushed by a mallet
563,"food house, Gupi, Fraxiom",mos thoser
564,convolk,-_-uncertain-_-
565,Juice WRLD,Lean Wit Me
566,The Weeknd,After Hours
567,Yung Lean,Pikachu
568,Tom The Mail Man,My Storm
569,"fats'e, shinigami, 93FEETOFSMOKE",old me
570,"JACKBOYS, Travis Scott, Young Thug",OUT WEST (feat. Young Thug)
